"Row","Column","Metric","Seasonal Metric","Annual Metric","Values"
69,221,"D8HourMax",,"Mean",18.5566052980603
69,222,"D8HourMax",,"Mean",18.4550618005471
69,223,"D8HourMax",,"Mean",18.4550618005471
69,224,"D8HourMax",,"Mean",18.4076934031009
69,225,"D8HourMax",,"Mean",18.3384585524737
69,226,"D8HourMax",,"Mean",18.3384585524737
69,227,"D8HourMax",,"Mean",18.0341277868505
70,218,"D8HourMax",,"Mean",19.007553061603
70,219,"D8HourMax",,"Mean",18.5850374609426
70,220,"D8HourMax",,"Mean",18.5850374609426
70,221,"D8HourMax",,"Mean",18.5566052980603
70,222,"D8HourMax",,"Mean",18.4550618005471
70,223,"D8HourMax",,"Mean",18.4550618005471
70,224,"D8HourMax",,"Mean",18.4076934031009
70,225,"D8HourMax",,"Mean",18.3384585524737
70,226,"D8HourMax",,"Mean",18.3384585524737
70,227,"D8HourMax",,"Mean",18.0341277868505
70,228,"D8HourMax",,"Mean",17.8258931452953
71,216,"D8HourMax",,"Mean",18.9825816491828
71,217,"D8HourMax",,"Mean",18.9005158438969
71,218,"D8HourMax",,"Mean",18.8909040874256
71,219,"D8HourMax",,"Mean",18.5928791041588
71,220,"D8HourMax",,"Mean",18.5928791041588
71,221,"D8HourMax",,"Mean",18.5719352530762
71,222,"D8HourMax",,"Mean",18.4971960469331
71,223,"D8HourMax",,"Mean",18.4971960469331
71,224,"D8HourMax",,"Mean",18.4499648774256
71,225,"D8HourMax",,"Mean",18.3809264518531
71,226,"D8HourMax",,"Mean",18.3809264518531
71,227,"D8HourMax",,"Mean",18.0569024932392
71,228,"D8HourMax",,"Mean",17.8351933290624
71,229,"D8HourMax",,"Mean",17.8351933290624
71,230,"D8HourMax",,"Mean",18.2520150826047
71,231,"D8HourMax",,"Mean",18.3687255968776
71,232,"D8HourMax",,"Mean",18.3687255968776
71,233,"D8HourMax",,"Mean",18.6630255778409
72,214,"D8HourMax",,"Mean",18.7536516153421
72,215,"D8HourMax",,"Mean",18.7536516153421
72,216,"D8HourMax",,"Mean",18.5887922820774
72,217,"D8HourMax",,"Mean",18.5582654955958
72,218,"D8HourMax",,"Mean",18.5600415163825
72,219,"D8HourMax",,"Mean",18.6151053426515
72,220,"D8HourMax",,"Mean",18.6151053426515
72,221,"D8HourMax",,"Mean",18.6154605101144
72,222,"D8HourMax",,"Mean",18.6167027415623
72,223,"D8HourMax",,"Mean",18.6167027415623
72,226,"D8HourMax",,"Mean",18.5013849005517
72,227,"D8HourMax",,"Mean",18.1214866072085
72,228,"D8HourMax",,"Mean",17.8615421220085
73,213,"D8HourMax",,"Mean",18.8843971684917
73,214,"D8HourMax",,"Mean",18.7536516153421
73,215,"D8HourMax",,"Mean",18.7536516153421
73,216,"D8HourMax",,"Mean",18.5887922820774
73,217,"D8HourMax",,"Mean",18.5582654955958
73,218,"D8HourMax",,"Mean",18.5600415163825
73,219,"D8HourMax",,"Mean",18.6151053426515
73,220,"D8HourMax",,"Mean",18.6151053426515
73,221,"D8HourMax",,"Mean",18.6154605101144
73,222,"D8HourMax",,"Mean",18.6167027415623
73,224,"D8HourMax",,"Mean",18.5698575832606
73,225,"D8HourMax",,"Mean",18.5013849005517
73,226,"D8HourMax",,"Mean",18.5013849005517
74,211,"D8HourMax",,"Mean",19.0364043544642
74,212,"D8HourMax",,"Mean",19.0364043544642
74,213,"D8HourMax",,"Mean",18.9728006051718
74,214,"D8HourMax",,"Mean",18.9394799615985
74,215,"D8HourMax",,"Mean",18.9394799615985
74,216,"D8HourMax",,"Mean",18.765887021137
74,217,"D8HourMax",,"Mean",18.7337461719384
74,218,"D8HourMax",,"Mean",18.7325954651926
74,219,"D8HourMax",,"Mean",18.6971743979308
74,220,"D8HourMax",,"Mean",18.6971743979308
74,221,"D8HourMax",,"Mean",18.671616579555
74,222,"D8HourMax",,"Mean",18.5802965383747
74,223,"D8HourMax",,"Mean",18.5802965383747
74,224,"D8HourMax",,"Mean",18.4197876490673
75,211,"D8HourMax",,"Mean",18.9215907611699
75,212,"D8HourMax",,"Mean",18.9215907611699
75,213,"D8HourMax",,"Mean",19.0768147571071
75,214,"D8HourMax",,"Mean",19.15812487088
75,215,"D8HourMax",,"Mean",19.15812487088
75,216,"D8HourMax",,"Mean",18.9742632760947
75,217,"D8HourMax",,"Mean",18.9402101926892
75,218,"D8HourMax",,"Mean",18.9356316622727
75,219,"D8HourMax",,"Mean",18.7937308299679
75,220,"D8HourMax",,"Mean",18.7937308299679
75,221,"D8HourMax",,"Mean",18.737678298221
75,222,"D8HourMax",,"Mean",18.5374594328522
75,223,"D8HourMax",,"Mean",18.5374594328522
75,224,"D8HourMax",,"Mean",18.2432206867477
76,210,"D8HourMax",,"Mean",19.390365035155
76,211,"D8HourMax",,"Mean",18.9215907611699
76,212,"D8HourMax",,"Mean",18.9215907611699
76,213,"D8HourMax",,"Mean",19.0768147571071
76,214,"D8HourMax",,"Mean",19.15812487088
76,215,"D8HourMax",,"Mean",19.15812487088
76,216,"D8HourMax",,"Mean",18.9742632760947
76,221,"D8HourMax",,"Mean",18.737678298221
76,222,"D8HourMax",,"Mean",18.5374594328522
76,223,"D8HourMax",,"Mean",18.5374594328522
76,224,"D8HourMax",,"Mean",18.2432206867477
76,238,"D8HourMax",,"Mean",18.6811795622509
76,239,"D8HourMax",,"Mean",17.8121173965566
76,240,"D8HourMax",,"Mean",17.8121173965566
76,241,"D8HourMax",,"Mean",17.9653512996682
76,242,"D8HourMax",,"Mean",18.1005530536035
76,243,"D8HourMax",,"Mean",18.1005530536035
76,244,"D8HourMax",,"Mean",17.7798912478357
77,210,"D8HourMax",,"Mean",19.2349017719469
77,211,"D8HourMax",,"Mean",19.1368772150293
77,212,"D8HourMax",,"Mean",19.1368772150293
77,213,"D8HourMax",,"Mean",19.1943146077343
77,214,"D8HourMax",,"Mean",19.2243953196768
77,215,"D8HourMax",,"Mean",19.2243953196768
77,216,"D8HourMax",,"Mean",19.0805926784787
77,221,"D8HourMax",,"Mean",18.7770538313341
77,222,"D8HourMax",,"Mean",18.4477170456386
77,223,"D8HourMax",,"Mean",18.4477170456386
77,238,"D8HourMax",,"Mean",18.8234811654207
77,239,"D8HourMax",,"Mean",17.9632623218211
77,240,"D8HourMax",,"Mean",17.9632623218211
77,241,"D8HourMax",,"Mean",18.0781588103696
77,242,"D8HourMax",,"Mean",18.1795365992529
77,243,"D8HourMax",,"Mean",18.1795365992529
77,244,"D8HourMax",,"Mean",17.8787685114368
77,245,"D8HourMax",,"Mean",17.761059408968
78,210,"D8HourMax",,"Mean",19.1540081804384
78,211,"D8HourMax",,"Mean",19.2489061253198
78,212,"D8HourMax",,"Mean",19.2489061253198
78,213,"D8HourMax",,"Mean",19.2554492045377
78,214,"D8HourMax",,"Mean",19.2588825089978
78,222,"D8HourMax",,"Mean",18.4010103921273
78,223,"D8HourMax",,"Mean",18.4010103921273
78,238,"D8HourMax",,"Mean",18.8975359709031
78,239,"D8HourMax",,"Mean",18.0419129650373
78,240,"D8HourMax",,"Mean",18.0419129650373
78,241,"D8HourMax",,"Mean",18.1368651306785
78,242,"D8HourMax",,"Mean",18.2206388928642
78,243,"D8HourMax",,"Mean",18.2206388928642
78,244,"D8HourMax",,"Mean",17.9302055237141
78,245,"D8HourMax",,"Mean",17.8165665897797
79,209,"D8HourMax",,"Mean",19.0702697295969
79,210,"D8HourMax",,"Mean",19.1540081804384
79,211,"D8HourMax",,"Mean",19.2489061253198
79,212,"D8HourMax",,"Mean",19.2489061253198
79,213,"D8HourMax",,"Mean",19.2554492045377
79,222,"D8HourMax",,"Mean",18.4010103921273
80,209,"D8HourMax",,"Mean",19.0892999568214
80,210,"D8HourMax",,"Mean",19.0827688630226
80,211,"D8HourMax",,"Mean",19.0753516519418
80,212,"D8HourMax",,"Mean",19.0753516519418
80,213,"D8HourMax",,"Mean",19.3280716302085
80,222,"D8HourMax",,"Mean",18.9726917250256
80,223,"D8HourMax",,"Mean",18.9726917250256
80,224,"D8HourMax",,"Mean",18.743354725258
80,225,"D8HourMax",,"Mean",18.408169905427
81,209,"D8HourMax",,"Mean",19.0925092916488
81,210,"D8HourMax",,"Mean",19.0707368979706
81,211,"D8HourMax",,"Mean",19.0460639738758
81,212,"D8HourMax",,"Mean",19.0460639738758
81,213,"D8HourMax",,"Mean",19.3403357422938
81,223,"D8HourMax",,"Mean",19.0691493316687
81,224,"D8HourMax",,"Mean",18.7718997225614
81,225,"D8HourMax",,"Mean",18.3374539252404
82,209,"D8HourMax",,"Mean",19.0859536053325
82,210,"D8HourMax",,"Mean",19.0741611578036
82,211,"D8HourMax",,"Mean",19.0607904448879
82,212,"D8HourMax",,"Mean",19.0607904448879
82,213,"D8HourMax",,"Mean",19.3632862240564
82,225,"D8HourMax",,"Mean",18.4059047840198
83,209,"D8HourMax",,"Mean",18.9704646881577
83,210,"D8HourMax",,"Mean",19.1344258140115
83,211,"D8HourMax",,"Mean",19.3202422475396
83,212,"D8HourMax",,"Mean",19.3202422475396
83,225,"D8HourMax",,"Mean",19.6116097495352
83,226,"D8HourMax",,"Mean",19.6116097495352
83,227,"D8HourMax",,"Mean",18.8151740944174
84,209,"D8HourMax",,"Mean",18.9704646881577
84,210,"D8HourMax",,"Mean",19.1344258140115
84,211,"D8HourMax",,"Mean",19.3202422475396
84,212,"D8HourMax",,"Mean",19.3202422475396
84,213,"D8HourMax",,"Mean",19.7677189447936
84,214,"D8HourMax",,"Mean",20.0021128797013
84,227,"D8HourMax",,"Mean",18.8151740944174
84,228,"D8HourMax",,"Mean",18.2702505120794
84,229,"D8HourMax",,"Mean",18.2702505120794
85,210,"D8HourMax",,"Mean",19.1816700655941
85,211,"D8HourMax",,"Mean",19.2765911916443
85,212,"D8HourMax",,"Mean",19.2765911916443
85,213,"D8HourMax",,"Mean",19.7359155826525
85,214,"D8HourMax",,"Mean",19.9765259306947
85,228,"D8HourMax",,"Mean",18.4524856078246
85,229,"D8HourMax",,"Mean",18.4524856078246
86,211,"D8HourMax",,"Mean",19.1476065176412
86,212,"D8HourMax",,"Mean",19.1476065176412
86,213,"D8HourMax",,"Mean",19.6419519899119
86,227,"D8HourMax",,"Mean",19.452385274925
86,228,"D8HourMax",,"Mean",18.9909327024267
86,229,"D8HourMax",,"Mean",18.9909327024267
87,209,"D8HourMax",,"Mean",19.4745340692904
87,210,"D8HourMax",,"Mean",19.3212876592455
87,211,"D8HourMax",,"Mean",19.1476065176412
87,212,"D8HourMax",,"Mean",19.1476065176412
87,213,"D8HourMax",,"Mean",19.6419519899119
87,226,"D8HourMax",,"Mean",20.1268138505036
87,227,"D8HourMax",,"Mean",19.452385274925
87,696,"D8HourMax",,"Mean",20.7846030660309
87,697,"D8HourMax",,"Mean",20.4583840838355
87,698,"D8HourMax",,"Mean",20.4246407052918
87,699,"D8HourMax",,"Mean",20.3861089886081
87,700,"D8HourMax",,"Mean",20.0136190849163
88,210,"D8HourMax",,"Mean",19.2724578490219
88,211,"D8HourMax",,"Mean",19.0413522825593
88,212,"D8HourMax",,"Mean",19.0413522825593
88,213,"D8HourMax",,"Mean",19.5311408332354
88,214,"D8HourMax",,"Mean",19.7876911909566
88,225,"D8HourMax",,"Mean",20.3680875303553
88,226,"D8HourMax",,"Mean",20.3680875303553
88,695,"D8HourMax",,"Mean",20.687083943847
88,696,"D8HourMax",,"Mean",20.687083943847
88,697,"D8HourMax",,"Mean",20.7904681852952
88,700,"D8HourMax",,"Mean",20.5516650959163
88,701,"D8HourMax",,"Mean",20.5516650959163
89,210,"D8HourMax",,"Mean",19.213155565545
89,211,"D8HourMax",,"Mean",18.9123201265971
89,212,"D8HourMax",,"Mean",18.9123201265971
89,213,"D8HourMax",,"Mean",19.3965735162749
89,214,"D8HourMax",,"Mean",19.6502160596473
89,225,"D8HourMax",,"Mean",20.6611099930187
89,226,"D8HourMax",,"Mean",20.6611099930187
89,693,"D8HourMax",,"Mean",21.9092562386001
89,694,"D8HourMax",,"Mean",20.9456910879514
89,695,"D8HourMax",,"Mean",20.568640030342
89,701,"D8HourMax",,"Mean",21.2050841240957
89,702,"D8HourMax",,"Mean",20.9109878500747
90,211,"D8HourMax",,"Mean",18.9123201265971
90,212,"D8HourMax",,"Mean",18.9123201265971
90,213,"D8HourMax",,"Mean",19.3965735162749
90,214,"D8HourMax",,"Mean",19.6502160596473
90,215,"D8HourMax",,"Mean",19.6502160596473
90,226,"D8HourMax",,"Mean",20.6611099930187
90,227,"D8HourMax",,"Mean",20.0202240367177
90,228,"D8HourMax",,"Mean",19.5817175230702
90,229,"D8HourMax",,"Mean",19.5817175230702
90,230,"D8HourMax",,"Mean",19.9800770719074
90,695,"D8HourMax",,"Mean",20.568640030342
90,696,"D8HourMax",,"Mean",20.568640030342
90,702,"D8HourMax",,"Mean",20.9109878500747
90,703,"D8HourMax",,"Mean",20.1594209939389
91,210,"D8HourMax",,"Mean",19.0353549961893
91,211,"D8HourMax",,"Mean",18.5804446221373
91,212,"D8HourMax",,"Mean",18.5804446221373
91,213,"D8HourMax",,"Mean",19.1090467607503
91,214,"D8HourMax",,"Mean",19.3859324540133
91,215,"D8HourMax",,"Mean",19.3859324540133
91,228,"D8HourMax",,"Mean",20.1413274085113
91,229,"D8HourMax",,"Mean",20.1413274085113
91,230,"D8HourMax",,"Mean",19.5878386066549
91,695,"D8HourMax",,"Mean",20.546702879603
91,696,"D8HourMax",,"Mean",20.546702879603
91,703,"D8HourMax",,"Mean",20.6028205257482
92,7,"D8HourMax",,"Mean",20.7901098210377
92,8,"D8HourMax",,"Mean",20.8022026161892
92,211,"D8HourMax",,"Mean",18.4016893315173
92,212,"D8HourMax",,"Mean",18.4016893315173
92,213,"D8HourMax",,"Mean",18.9541827447408
92,214,"D8HourMax",,"Mean",19.2435882052255
92,215,"D8HourMax",,"Mean",19.2435882052255
92,230,"D8HourMax",,"Mean",19.3765621597155
92,697,"D8HourMax",,"Mean",20.6632011602227
92,698,"D8HourMax",,"Mean",20.6764776064212
92,703,"D8HourMax",,"Mean",20.8416511012113
92,704,"D8HourMax",,"Mean",20.8416511012113
93,7,"D8HourMax",,"Mean",20.7901098210377
93,8,"D8HourMax",,"Mean",20.8022026161892
93,211,"D8HourMax",,"Mean",18.4016893315173
93,212,"D8HourMax",,"Mean",18.4016893315173
93,213,"D8HourMax",,"Mean",18.9541827447408
93,214,"D8HourMax",,"Mean",19.2435882052255
93,215,"D8HourMax",,"Mean",19.2435882052255
93,230,"D8HourMax",,"Mean",19.3765621597155
93,653,"D8HourMax",,"Mean",19.9230105801352
93,654,"D8HourMax",,"Mean",19.8909737219719
93,655,"D8HourMax",,"Mean",19.5813663485625
93,698,"D8HourMax",,"Mean",20.6764776064212
93,699,"D8HourMax",,"Mean",20.6993397600798
93,700,"D8HourMax",,"Mean",20.9204132031263
93,704,"D8HourMax",,"Mean",20.8416511012113
93,705,"D8HourMax",,"Mean",20.5233613338647
93,706,"D8HourMax",,"Mean",20.1626302889522
93,707,"D8HourMax",,"Mean",20.1626302889522
94,212,"D8HourMax",,"Mean",18.1499245952884
94,213,"D8HourMax",,"Mean",19.0814528686215
94,214,"D8HourMax",,"Mean",19.5693972788271
94,215,"D8HourMax",,"Mean",19.5693972788271
94,230,"D8HourMax",,"Mean",20.823437107802
94,231,"D8HourMax",,"Mean",20.6631575388394
94,232,"D8HourMax",,"Mean",20.6631575388394
94,652,"D8HourMax",,"Mean",20.8202465998862
94,653,"D8HourMax",,"Mean",20.8247247841088
94,654,"D8HourMax",,"Mean",20.8277933690902
94,655,"D8HourMax",,"Mean",20.8575160162351
94,656,"D8HourMax",,"Mean",20.8575160162351
94,700,"D8HourMax",,"Mean",20.9551245926435
94,701,"D8HourMax",,"Mean",20.9551245926435
94,702,"D8HourMax",,"Mean",20.951981769723
94,706,"D8HourMax",,"Mean",21.1796499222836
94,707,"D8HourMax",,"Mean",21.1796499222836
95,212,"D8HourMax",,"Mean",18.1047742480229
