"Row","Column","Metric","Seasonal Metric","Annual Metric","Values"
69,221,"D8HourMax",,"Mean",18.9194119308213
69,222,"D8HourMax",,"Mean",18.8448361897251
69,223,"D8HourMax",,"Mean",18.8558040225849
69,224,"D8HourMax",,"Mean",18.8782195640659
69,225,"D8HourMax",,"Mean",18.8731366194388
69,226,"D8HourMax",,"Mean",18.6243919592228
69,227,"D8HourMax",,"Mean",18.5653937430491
70,218,"D8HourMax",,"Mean",18.8503119228157
70,219,"D8HourMax",,"Mean",18.7384408959742
70,220,"D8HourMax",,"Mean",18.7311564695584
70,221,"D8HourMax",,"Mean",18.9309011264986
70,222,"D8HourMax",,"Mean",18.8143029639965
70,223,"D8HourMax",,"Mean",18.8112624053203
70,224,"D8HourMax",,"Mean",18.8386426322002
70,225,"D8HourMax",,"Mean",18.8484510850506
70,226,"D8HourMax",,"Mean",18.5997064248345
70,227,"D8HourMax",,"Mean",18.5560368716103
70,228,"D8HourMax",,"Mean",18.5574683973311
71,216,"D8HourMax",,"Mean",18.5915621519617
71,217,"D8HourMax",,"Mean",18.5872933913962
71,218,"D8HourMax",,"Mean",18.5337523408518
71,219,"D8HourMax",,"Mean",18.4102889050789
71,220,"D8HourMax",,"Mean",18.3872706875087
71,221,"D8HourMax",,"Mean",18.5737963591248
71,222,"D8HourMax",,"Mean",18.3899550101538
71,223,"D8HourMax",,"Mean",18.3014387943143
71,224,"D8HourMax",,"Mean",18.2684916052338
71,225,"D8HourMax",,"Mean",18.281114557596
71,226,"D8HourMax",,"Mean",18.3806311155114
71,227,"D8HourMax",,"Mean",18.3453042603199
71,228,"D8HourMax",,"Mean",18.4113317578084
71,229,"D8HourMax",,"Mean",18.5415573474894
71,230,"D8HourMax",,"Mean",18.7137992612913
71,231,"D8HourMax",,"Mean",18.546456009755
71,232,"D8HourMax",,"Mean",18.566170346204
71,233,"D8HourMax",,"Mean",18.6655650776179
72,214,"D8HourMax",,"Mean",18.5031027286886
72,215,"D8HourMax",,"Mean",18.4265950036077
72,216,"D8HourMax",,"Mean",18.5205001748376
72,217,"D8HourMax",,"Mean",18.5113248894102
72,218,"D8HourMax",,"Mean",18.4549778751036
72,219,"D8HourMax",,"Mean",18.3915197004065
72,220,"D8HourMax",,"Mean",18.3351775327417
72,221,"D8HourMax",,"Mean",18.5259720347081
72,222,"D8HourMax",,"Mean",18.3701031901853
72,223,"D8HourMax",,"Mean",18.2858354014709
72,226,"D8HourMax",,"Mean",18.373008881077
72,227,"D8HourMax",,"Mean",18.3524992107103
72,228,"D8HourMax",,"Mean",18.4195266335061
73,213,"D8HourMax",,"Mean",18.9807302677467
73,214,"D8HourMax",,"Mean",18.7921763186899
73,215,"D8HourMax",,"Mean",18.5852141397985
73,216,"D8HourMax",,"Mean",18.812025030378
73,217,"D8HourMax",,"Mean",18.7683017605424
73,218,"D8HourMax",,"Mean",18.714554952626
73,219,"D8HourMax",,"Mean",18.6714887366623
73,220,"D8HourMax",,"Mean",18.6339630648705
73,221,"D8HourMax",,"Mean",18.4152823674687
73,222,"D8HourMax",,"Mean",18.4080017887953
73,224,"D8HourMax",,"Mean",18.4581203776372
73,225,"D8HourMax",,"Mean",18.5045321812882
73,226,"D8HourMax",,"Mean",18.2050534321489
74,211,"D8HourMax",,"Mean",19.1066722388173
74,212,"D8HourMax",,"Mean",19.1281164376912
74,213,"D8HourMax",,"Mean",19.0292208711337
74,214,"D8HourMax",,"Mean",18.8151008118337
74,215,"D8HourMax",,"Mean",18.4725523583076
74,216,"D8HourMax",,"Mean",18.6975668348666
74,217,"D8HourMax",,"Mean",18.6088228527139
74,218,"D8HourMax",,"Mean",18.5690231561381
74,219,"D8HourMax",,"Mean",18.5452104248354
74,220,"D8HourMax",,"Mean",18.5320227469494
74,221,"D8HourMax",,"Mean",18.3081241287378
74,222,"D8HourMax",,"Mean",18.4372991402161
74,223,"D8HourMax",,"Mean",18.5075224923715
74,224,"D8HourMax",,"Mean",18.5282198753292
75,211,"D8HourMax",,"Mean",18.9721221126454
75,212,"D8HourMax",,"Mean",18.9695702746646
75,213,"D8HourMax",,"Mean",18.9089161943296
75,214,"D8HourMax",,"Mean",18.7152707261202
75,215,"D8HourMax",,"Mean",18.3584096925914
75,216,"D8HourMax",,"Mean",18.5238958695846
75,217,"D8HourMax",,"Mean",18.4719222211934
75,218,"D8HourMax",,"Mean",18.4681535704929
75,219,"D8HourMax",,"Mean",18.4490100575016
75,220,"D8HourMax",,"Mean",18.4413894685354
75,221,"D8HourMax",,"Mean",18.3701567830958
75,222,"D8HourMax",,"Mean",18.5108922392408
75,223,"D8HourMax",,"Mean",18.7081217049661
75,224,"D8HourMax",,"Mean",18.8152371197367
76,210,"D8HourMax",,"Mean",18.7836543792411
76,211,"D8HourMax",,"Mean",18.9327926187418
76,212,"D8HourMax",,"Mean",18.9106976033345
76,213,"D8HourMax",,"Mean",18.8435313816901
76,214,"D8HourMax",,"Mean",18.6792693490599
76,215,"D8HourMax",,"Mean",18.4105566926134
76,216,"D8HourMax",,"Mean",18.5760428696067
76,221,"D8HourMax",,"Mean",18.4482763145129
76,222,"D8HourMax",,"Mean",18.6493243225494
76,223,"D8HourMax",,"Mean",18.8666569328952
76,224,"D8HourMax",,"Mean",18.9717432992713
76,238,"D8HourMax",,"Mean",19.0307919335258
76,239,"D8HourMax",,"Mean",18.8120802918818
76,240,"D8HourMax",,"Mean",18.7634754653966
76,241,"D8HourMax",,"Mean",18.6975216531068
76,242,"D8HourMax",,"Mean",18.6959689193167
76,243,"D8HourMax",,"Mean",18.7066641326345
76,244,"D8HourMax",,"Mean",18.6716757078571
77,210,"D8HourMax",,"Mean",18.8245128286407
77,211,"D8HourMax",,"Mean",19.268543118586
77,212,"D8HourMax",,"Mean",19.2587003213978
77,213,"D8HourMax",,"Mean",19.1385074509551
77,214,"D8HourMax",,"Mean",18.931343981623
77,215,"D8HourMax",,"Mean",18.6770240720139
77,216,"D8HourMax",,"Mean",18.9751970898847
77,221,"D8HourMax",,"Mean",18.2943767222324
77,222,"D8HourMax",,"Mean",18.4490474516164
77,223,"D8HourMax",,"Mean",18.6524650215544
77,238,"D8HourMax",,"Mean",19.1678371352393
77,239,"D8HourMax",,"Mean",18.9592342798354
77,240,"D8HourMax",,"Mean",18.9084342451314
77,241,"D8HourMax",,"Mean",18.6818970176256
77,242,"D8HourMax",,"Mean",18.6490526981616
77,243,"D8HourMax",,"Mean",18.6557522606866
77,244,"D8HourMax",,"Mean",18.6297019891653
77,245,"D8HourMax",,"Mean",18.6365567776223
78,210,"D8HourMax",,"Mean",18.8444958993669
78,211,"D8HourMax",,"Mean",19.2460096425132
78,212,"D8HourMax",,"Mean",19.2423065957154
78,213,"D8HourMax",,"Mean",19.1138724733
78,214,"D8HourMax",,"Mean",18.9367190675629
78,222,"D8HourMax",,"Mean",18.5407749810487
78,223,"D8HourMax",,"Mean",18.7203262944306
78,238,"D8HourMax",,"Mean",19.2378853239537
78,239,"D8HourMax",,"Mean",19.0298698065768
78,240,"D8HourMax",,"Mean",18.9779678261867
78,241,"D8HourMax",,"Mean",18.7954533316694
78,242,"D8HourMax",,"Mean",18.7467986426195
78,243,"D8HourMax",,"Mean",18.7494076511154
78,244,"D8HourMax",,"Mean",18.7168504574834
78,245,"D8HourMax",,"Mean",18.6988543672274
79,209,"D8HourMax",,"Mean",18.7065048945998
79,210,"D8HourMax",,"Mean",18.7667180264974
79,211,"D8HourMax",,"Mean",19.0819269739541
79,212,"D8HourMax",,"Mean",19.0709069832769
79,213,"D8HourMax",,"Mean",19.0617225801154
79,222,"D8HourMax",,"Mean",18.7680769618008
80,209,"D8HourMax",,"Mean",18.7121072959325
80,210,"D8HourMax",,"Mean",18.7539003620149
80,211,"D8HourMax",,"Mean",19.0484499258048
80,212,"D8HourMax",,"Mean",19.0353787706562
80,213,"D8HourMax",,"Mean",19.0752054758422
80,222,"D8HourMax",,"Mean",18.8996948497817
80,223,"D8HourMax",,"Mean",18.9893634048029
80,224,"D8HourMax",,"Mean",19.0215536973836
80,225,"D8HourMax",,"Mean",18.9830039526323
81,209,"D8HourMax",,"Mean",18.7031152745511
81,210,"D8HourMax",,"Mean",18.7211811871674
81,211,"D8HourMax",,"Mean",18.9479176043086
81,212,"D8HourMax",,"Mean",18.8853979974226
81,213,"D8HourMax",,"Mean",18.9301120930472
81,223,"D8HourMax",,"Mean",20.2697617232981
81,224,"D8HourMax",,"Mean",20.3021182247497
81,225,"D8HourMax",,"Mean",20.2238666642987
82,209,"D8HourMax",,"Mean",18.7016088174287
82,210,"D8HourMax",,"Mean",18.719403066208
82,211,"D8HourMax",,"Mean",18.9484195216864
82,212,"D8HourMax",,"Mean",18.8803552203173
82,213,"D8HourMax",,"Mean",18.9248719340751
82,225,"D8HourMax",,"Mean",20.2420479447579
83,209,"D8HourMax",,"Mean",18.7198522589338
83,210,"D8HourMax",,"Mean",18.7842221027352
83,211,"D8HourMax",,"Mean",19.0758256949266
83,212,"D8HourMax",,"Mean",19.0272237618425
83,225,"D8HourMax",,"Mean",20.598572586723
83,226,"D8HourMax",,"Mean",19.2060790268853
83,227,"D8HourMax",,"Mean",19.0410547877286
84,209,"D8HourMax",,"Mean",18.7278946658836
84,210,"D8HourMax",,"Mean",18.7959984089009
84,211,"D8HourMax",,"Mean",19.0974457302165
84,212,"D8HourMax",,"Mean",19.0602145723705
84,213,"D8HourMax",,"Mean",19.1362055839511
84,214,"D8HourMax",,"Mean",19.3220132321633
84,227,"D8HourMax",,"Mean",19.2155232472419
84,228,"D8HourMax",,"Mean",19.235837425559
84,229,"D8HourMax",,"Mean",19.3538343678793
85,210,"D8HourMax",,"Mean",18.7707904530079
85,211,"D8HourMax",,"Mean",19.1310617433366
85,212,"D8HourMax",,"Mean",19.1725686053536
85,213,"D8HourMax",,"Mean",19.2707117606035
85,214,"D8HourMax",,"Mean",19.4302665321734
85,228,"D8HourMax",,"Mean",19.528346489279
85,229,"D8HourMax",,"Mean",19.6520153846519
86,211,"D8HourMax",,"Mean",19.1752426265724
86,212,"D8HourMax",,"Mean",19.2073808724411
86,213,"D8HourMax",,"Mean",19.3094239342735
86,227,"D8HourMax",,"Mean",19.6933020891319
86,228,"D8HourMax",,"Mean",19.7409178021012
86,229,"D8HourMax",,"Mean",19.8680465054927
87,209,"D8HourMax",,"Mean",18.7444723017268
87,210,"D8HourMax",,"Mean",18.7449964621779
87,211,"D8HourMax",,"Mean",19.0933902065818
87,212,"D8HourMax",,"Mean",19.0961356121703
87,213,"D8HourMax",,"Mean",19.1898708954249
87,226,"D8HourMax",,"Mean",19.9235980167279
87,227,"D8HourMax",,"Mean",19.7759970586442
87,696,"D8HourMax",,"Mean",21.0034254686041
87,697,"D8HourMax",,"Mean",20.9771752045679
87,698,"D8HourMax",,"Mean",21.097248820968
87,699,"D8HourMax",,"Mean",21.1865456330993
87,700,"D8HourMax",,"Mean",21.0615095438934
88,210,"D8HourMax",,"Mean",18.7368446234878
88,211,"D8HourMax",,"Mean",19.1699099145698
88,212,"D8HourMax",,"Mean",19.166186469251
88,213,"D8HourMax",,"Mean",19.2568030841745
88,214,"D8HourMax",,"Mean",19.4053742709547
88,225,"D8HourMax",,"Mean",21.2452486122455
88,226,"D8HourMax",,"Mean",19.9989013531967
88,695,"D8HourMax",,"Mean",20.5775496678075
88,696,"D8HourMax",,"Mean",20.8409656499153
88,697,"D8HourMax",,"Mean",20.8802122236115
88,700,"D8HourMax",,"Mean",21.1178989386931
88,701,"D8HourMax",,"Mean",20.725023751506
89,210,"D8HourMax",,"Mean",18.7328742927195
89,211,"D8HourMax",,"Mean",18.9217586669492
89,212,"D8HourMax",,"Mean",18.9063900550026
89,213,"D8HourMax",,"Mean",18.9637300062705
89,214,"D8HourMax",,"Mean",19.0378333024549
89,225,"D8HourMax",,"Mean",21.3134261996983
89,226,"D8HourMax",,"Mean",20.5927314925048
89,693,"D8HourMax",,"Mean",21.5987606890029
89,694,"D8HourMax",,"Mean",21.1396177092094
89,695,"D8HourMax",,"Mean",20.7202756047011
89,701,"D8HourMax",,"Mean",21.6095626681662
89,702,"D8HourMax",,"Mean",21.8785092481747
90,211,"D8HourMax",,"Mean",18.9190028858775
90,212,"D8HourMax",,"Mean",18.9269976380493
90,213,"D8HourMax",,"Mean",18.9921258284241
90,214,"D8HourMax",,"Mean",19.0621772923975
90,215,"D8HourMax",,"Mean",19.2240469540934
90,226,"D8HourMax",,"Mean",20.628429690256
90,227,"D8HourMax",,"Mean",20.5043838402526
90,228,"D8HourMax",,"Mean",20.4988141740811
90,229,"D8HourMax",,"Mean",20.5997011867492
90,230,"D8HourMax",,"Mean",20.738240002967
90,695,"D8HourMax",,"Mean",20.7788892494372
90,696,"D8HourMax",,"Mean",22.032433335983
90,702,"D8HourMax",,"Mean",21.8504636335813
90,703,"D8HourMax",,"Mean",21.91128979512
91,210,"D8HourMax",,"Mean",18.762956569727
91,211,"D8HourMax",,"Mean",18.9414513987667
91,212,"D8HourMax",,"Mean",18.9755524301287
91,213,"D8HourMax",,"Mean",18.9962542502435
91,214,"D8HourMax",,"Mean",18.978886090009
91,215,"D8HourMax",,"Mean",19.0506776325752
91,228,"D8HourMax",,"Mean",20.9413326247643
91,229,"D8HourMax",,"Mean",21.0401703653481
91,230,"D8HourMax",,"Mean",20.9800463893853
91,695,"D8HourMax",,"Mean",21.4999154452474
91,696,"D8HourMax",,"Mean",22.7909130510218
91,703,"D8HourMax",,"Mean",21.8584089488304
92,7,"D8HourMax",,"Mean",21.0481439218
92,8,"D8HourMax",,"Mean",20.9912932312834
92,211,"D8HourMax",,"Mean",18.8935392524604
92,212,"D8HourMax",,"Mean",18.9624138976043
92,213,"D8HourMax",,"Mean",18.9995342951169
92,214,"D8HourMax",,"Mean",18.9892626760456
92,215,"D8HourMax",,"Mean",19.0747584687559
92,230,"D8HourMax",,"Mean",21.0180425731037
92,697,"D8HourMax",,"Mean",22.8491489972873
92,698,"D8HourMax",,"Mean",22.6306909349279
92,703,"D8HourMax",,"Mean",21.965122928861
92,704,"D8HourMax",,"Mean",22.1923201271645
93,7,"D8HourMax",,"Mean",21.1834021568228
93,8,"D8HourMax",,"Mean",21.1289135141058
93,211,"D8HourMax",,"Mean",18.0505071405864
93,212,"D8HourMax",,"Mean",18.1438064733779
93,213,"D8HourMax",,"Mean",18.1707979125232
93,214,"D8HourMax",,"Mean",18.1478773362106
93,215,"D8HourMax",,"Mean",18.2502248899955
93,230,"D8HourMax",,"Mean",22.4788374678177
93,653,"D8HourMax",,"Mean",22.4054019352469
93,654,"D8HourMax",,"Mean",22.4755871059588
93,655,"D8HourMax",,"Mean",22.4521409823438
93,698,"D8HourMax",,"Mean",21.5191415785522
93,699,"D8HourMax",,"Mean",21.3504142873525
93,700,"D8HourMax",,"Mean",21.401002537423
93,704,"D8HourMax",,"Mean",22.098374943589
93,705,"D8HourMax",,"Mean",22.2788978161652
93,706,"D8HourMax",,"Mean",22.0474097941897
93,707,"D8HourMax",,"Mean",22.0495402311819
94,212,"D8HourMax",,"Mean",18.1926796588704
94,213,"D8HourMax",,"Mean",18.3199556980916
94,214,"D8HourMax",,"Mean",18.3368699399188
94,215,"D8HourMax",,"Mean",18.4392805311795
94,230,"D8HourMax",,"Mean",23.0881994283716
94,231,"D8HourMax",,"Mean",21.569295084308
94,232,"D8HourMax",,"Mean",21.5662805219162
94,652,"D8HourMax",,"Mean",22.6333595021264
94,653,"D8HourMax",,"Mean",22.6857311857251
94,654,"D8HourMax",,"Mean",22.7676475857537
94,655,"D8HourMax",,"Mean",22.789265663058
94,656,"D8HourMax",,"Mean",22.5991551361849
94,700,"D8HourMax",,"Mean",21.5678529840188
94,701,"D8HourMax",,"Mean",21.8579766174506
94,702,"D8HourMax",,"Mean",21.712944729687
94,706,"D8HourMax",,"Mean",21.9973447360902
94,707,"D8HourMax",,"Mean",22.0125542825371
95,212,"D8HourMax",,"Mean",18.1508823622121
95,213,"D8HourMax",,"Mean",18.2961006649744
95,214,"D8HourMax",,"Mean",18.3131711616532
95,215,"D8HourMax",,"Mean",18.4125584493598
95,230,"D8HourMax",,"Mean",23.3104661746395
95,231,"D8HourMax",,"Mean",21.8478779837331
95,232,"D8HourMax",,"Mean",21.8329006186284
95,233,"D8HourMax",,"Mean",22.2934189492308
95,652,"D8HourMax",,"Mean",22.5092924342897
95,655,"D8HourMax",,"Mean",22.7478257997433
95,656,"D8HourMax",,"Mean",22.5011709365331
95,657,"D8HourMax",,"Mean",22.9730158551323
95,702,"D8HourMax",,"Mean",22.0307904179212
95,703,"D8HourMax",,"Mean",21.8472566921131
95,707,"D8HourMax",,"Mean",21.7761288666568
95,708,"D8HourMax",,"Mean",21.8565792948442
96,212,"D8HourMax",,"Mean",18.4024110441021
96,213,"D8HourMax",,"Mean",18.5902327276052
96,214,"D8HourMax",,"Mean",18.6085049075044
96,215,"D8HourMax",,"Mean",18.6981876890967
96,216,"D8HourMax",,"Mean",21.1331314541778
96,230,"D8HourMax",,"Mean",23.5538966832378
96,231,"D8HourMax",,"Mean",22.0923867828799
96,232,"D8HourMax",,"Mean",22.0741926540679
96,233,"D8HourMax",,"Mean",22.5493925963947
96,651,"D8HourMax",,"Mean",22.8936084487538
96,652,"D8HourMax",,"Mean",22.8318334705586
96,657,"D8HourMax",,"Mean",23.5283828312242
96,703,"D8HourMax",,"Mean",22.0817205665368
96,708,"D8HourMax",,"Mean",21.5828297700623
96,709,"D8HourMax",,"Mean",21.9702940286203
97,212,"D8HourMax",,"Mean",18.7566613866323
97,213,"D8HourMax",,"Mean",19.1274213956209
97,214,"D8HourMax",,"Mean",19.2353826342744
97,215,"D8HourMax",,"Mean",19.3186161330729
97,216,"D8HourMax",,"Mean",21.8473243164415
97,230,"D8HourMax",,"Mean",24.2070981758013
97,231,"D8HourMax",,"Mean",22.9343925168628
97,650,"D8HourMax",,"Mean",22.9001899320478
97,651,"D8HourMax",,"Mean",24.0409398009948
97,657,"D8HourMax",,"Mean",24.8321976196696
97,703,"D8HourMax",,"Mean",21.7833128677793
97,704,"D8HourMax",,"Mean",21.5130516070133
97,709,"D8HourMax",,"Mean",22.5044952663476
97,711,"D8HourMax",,"Mean",23.3205859415188
97,712,"D8HourMax",,"Mean",23.2962250170285
98,213,"D8HourMax",,"Mean",19.0912547869716
98,214,"D8HourMax",,"Mean",19.343360031372
98,215,"D8HourMax",,"Mean",19.859035642486
98,216,"D8HourMax",,"Mean",22.3877438258546
98,230,"D8HourMax",,"Mean",24.5857896261267
98,231,"D8HourMax",,"Mean",23.3130839671882
98,232,"D8HourMax",,"Mean",23.3085338310954
98,233,"D8HourMax",,"Mean",23.4512241914771
