Model,discount.rate,mean,2.5%,97.5%
CESM2,1.5% Ramsey,1767.2840225257064,755.8393139153332,2764.8094192653634
CESM2,2.0% CDR,1809.5767235513179,773.9314554025777,2830.9585710467672
CESM2,2.0% Ramsey,1589.6828317366462,679.8667816724975,2487.018305023859
CESM2,2.5% Ramsey,1449.2095457036773,619.7774109966638,2267.2966121679565
CESM2,3.0% CDR,1545.2121343637805,660.8439843032853,2417.458789828847
CESM2,3.0% Ramsey,1333.8140371636707,570.4161384764203,2086.797745211731
GFDL,1.5% Ramsey,1281.2704338276965,548.0338177764556,2004.2727725408943
GFDL,2.0% CDR,1310.6754167965346,560.613282659822,2050.2627648137773
GFDL,2.0% Ramsey,1152.8837140010423,493.111443921549,1803.4678432095632
GFDL,2.5% Ramsey,1051.261496618238,449.6391066658834,1644.522526040745
GFDL,3.0% CDR,1119.5042498755236,478.8323950037004,1751.2591569170822
GFDL,3.0% Ramsey,967.7373812459781,413.90922453373634,1513.8827240805963
GISS,1.5% Ramsey,1154.4987476968154,493.81501688613486,1805.9481595424754
GISS,2.0% CDR,1183.4905070421548,506.2176858922216,1851.2919288245414
GISS,2.0% Ramsey,1038.1534399645868,444.0436360635011,1623.9774271706258
GISS,2.5% Ramsey,946.2588274412376,404.732446861595,1480.2474553356803
GISS,3.0% CDR,1010.0844173640247,432.03620800391946,1580.0750583712584
GISS,3.0% Ramsey,870.8407937315454,372.47003074192156,1362.2868807282716
HadGEM,1.5% Ramsey,2090.614222539278,894.0676496735252,3270.837988482346
HadGEM,2.0% CDR,2145.0915190109577,917.3713828632,3356.047643289468
HadGEM,2.0% Ramsey,1878.5549790023347,803.3574280751114,2939.1412270551555
HadGEM,2.5% Ramsey,1711.192274554534,731.7678687471887,2677.352699119133
HadGEM,3.0% CDR,1829.3343644387805,782.3031904260371,2862.150667504558
HadGEM,3.0% Ramsey,1573.9284693177808,673.0541732557847,2462.6411158364886
MIROC,1.5% Ramsey,1068.1392130034726,456.8883703990593,1670.815174805634
MIROC,2.0% CDR,1091.6693042553934,466.9546615491748,1707.6163289969936
MIROC,2.0% Ramsey,961.4968815634936,411.26730407117327,1504.0223411326458
MIROC,2.5% Ramsey,877.003650841549,375.121859954197,1371.8703336354713
MIROC,3.0% CDR,932.9473009853748,399.05414132591625,1459.3689169094007
MIROC,3.0% Ramsey,807.5105189583786,345.39359302946616,1263.1783239804085
MMM,1.5% Ramsey,1472.3006285717863,629.7200703395013,2303.179677632558
MMM,2.0% CDR,1508.0304593165895,645.0050602179052,2359.062753714816
MMM,2.0% Ramsey,1324.0970414286041,566.3212307814402,2071.3764424331057
MMM,2.5% Ramsey,1206.9303649010783,516.2000685482307,1888.1153038186264
MMM,3.0% CDR,1287.3505273904627,550.6020561637756,2013.9005412627168
MMM,3.0% Ramsey,1110.7135126722442,475.0412522792453,1737.6201104792128
